"n_processes","n_threads","n_x","n_y","I_max","Average time","Standard deviation","Communication time"
1, 2, 3000, 3000, 3000, 4.138217, 0.001832, 0.007355
1, 4, 3000, 3000, 3000, 2.068188, 0.001350, 0.009624
1, 6, 3000, 3000, 3000, 1.377297, 0.001186, 0.010151
1, 8, 3000, 3000, 3000, 1.033269, 0.000899, 0.008920
1, 10, 3000, 3000, 3000, 0.826612, 0.000792, 0.007912
1, 12, 3000, 3000, 3000, 0.688818, 0.000752, 0.008145
1, 14, 3000, 3000, 3000, 0.590467, 0.000680, 0.007990
1, 16, 3000, 3000, 3000, 0.516626, 0.000749, 0.009695
1, 18, 3000, 3000, 3000, 0.459344, 0.000809, 0.007927
1, 20, 3000, 3000, 3000, 0.413567, 0.000842, 0.008256
1, 22, 3000, 3000, 3000, 0.376138, 0.000863, 0.007762
1, 24, 3000, 3000, 3000, 0.345056, 0.000788, 0.008285
1, 26, 3000, 3000, 3000, 0.318507, 0.000915, 0.007971
1, 28, 3000, 3000, 3000, 0.295800, 0.000795, 0.008533
1, 30, 3000, 3000, 3000, 0.276188, 0.000968, 0.007780
1, 32, 3000, 3000, 3000, 0.258915, 0.000924, 0.008093
1, 34, 3000, 3000, 3000, 0.243880, 0.000957, 0.007586
1, 36, 3000, 3000, 3000, 0.230346, 0.000891, 0.008357
1, 38, 3000, 3000, 3000, 0.218340, 0.000995, 0.007663
1, 40, 3000, 3000, 3000, 0.207447, 0.000992, 0.008198
1, 42, 3000, 3000, 3000, 0.197709, 0.001128, 0.007579
1, 44, 3000, 3000, 3000, 0.188734, 0.001041, 0.008386
1, 46, 3000, 3000, 3000, 0.180654, 0.001100, 0.007550
1, 48, 3000, 3000, 3000, 0.173229, 0.001186, 0.009027
1, 50, 3000, 3000, 3000, 0.166325, 0.001137, 0.007748
1, 52, 3000, 3000, 3000, 0.160038, 0.001133, 0.008281
1, 54, 3000, 3000, 3000, 0.154216, 0.001188, 0.007695
1, 56, 3000, 3000, 3000, 0.148691, 0.001175, 0.007585
1, 58, 3000, 3000, 3000, 0.143635, 0.001222, 0.007682
1, 60, 3000, 3000, 3000, 0.138934, 0.001250, 0.007884
1, 62, 3000, 3000, 3000, 0.134613, 0.001180, 0.007648
1, 64, 3000, 3000, 3000, 0.130058, 0.001318, 0.013116
